year,iso_code,country,economic_freedom,rank,quartile,gdp_growth
2011,HRV,Croatia,6.9,79.0,3.0,"-0,234803687"
2011,CYP,Cyprus,7.67,19.0,1.0,"0,4"
2011,CZE,Czech Rep.,7.26,50.0,2.0,"1,818613208"
2011,DNK,Denmark,7.71,14.0,1.0,"1,07128642"
2011,DOM,Dominican Rep.,7.18,59.0,2.0,"4,482914631"
2011,ECU,Ecuador,5.88,133.0,4.0,"7,834632369"
2011,EGY,Egypt,6.18,122.0,4.0,"1,762424587"
2011,SLV,El Salvador,7.14,62.0,2.0,"2,21683561"
2011,EST,Estonia,7.74,13.0,1.0,"9,557924727"
2011,ETH,Ethiopia,5.16,145.0,4.0,"11,17828806"
2011,FJI,Fiji,7.04,68.0,2.0,"1,867665921"
2011,FIN,Finland,7.87,10.0,1.0,"2,824851558"
2011,FRA,France,7.33,45.0,2.0,"2,026874819"
2011,GAB,Gabon,5.44,142.0,4.0,"7,1"
2011,GMB,"Gambia, The",7.04,68.0,2.0,"-4,295121672"
2011,GEO,Georgia,7.64,22.0,1.0,"6,953499714"
2011,DEU,Germany,7.68,18.0,1.0,"3,333333333"
2011,GHA,Ghana,6.76,89.0,3.0,"15,00707161"
2011,GRC,Greece,6.69,93.0,3.0,"-7,105818864"
2011,GTM,Guatemala,7.22,55.0,2.0,"4,162050354"
2011,GIN,Guinea,,,,"3,90876145"
2011,GNB,Guinea-Bissau,5.62,139.0,4.0,"5,339"
2011,GUY,Guyana,6.31,114.0,3.0,"5,437126058"
2011,HTI,Haiti,6.29,116.0,4.0,"5,523737754"
2011,HND,Honduras,7.28,48.0,2.0,"3,835560728"
2011,HKG,Hong Kong,8.99,1.0,1.0,"4,786105126"
2011,HUN,Hungary,7.38,38.0,1.0,"1,391290868"
2011,ISL,Iceland,6.86,82.0,3.0,"2,655218684"
2011,IND,India,6.57,103.0,3.0,"6,6383638"
2011,IDN,Indonesia,6.87,81.0,3.0,"6,48563284"
2011,IRN,Iran,5.63,138.0,4.0,3
2011,IRQ,Iraq,,,,"9,682900853"
2011,IRL,Ireland,7.83,11.0,1.0,"2,168695058"
2011,ISR,Israel,7.35,41.0,2.0,"4,573528798"
2011,ITA,Italy,7.22,55.0,2.0,"0,449507129"
2011,JAM,Jamaica,7.0,71.0,2.0,"1,703150085"
2011,JPN,Japan,7.49,30.0,1.0,"-0,452724839"
2011,JOR,Jordan,7.48,32.0,1.0,"2,560808984"
2011,KAZ,Kazakhstan,6.97,73.0,2.0,"7,5"
2011,KEN,Kenya,6.94,75.0,2.0,"4,420654212"
2011,KOR,"Korea, South",7.52,28.0,1.0,"3,681704667"
2011,KWT,Kuwait,6.93,76.0,2.0,"6,303509683"
2011,KGZ,Kyrgyz Republic,6.62,99.0,3.0,"5,956274307"
2011,LAO,Laos,,,,"8,038652681"
2011,LVA,Latvia,7.34,42.0,2.0,"5,3"
2011,LBN,Lebanon,7.18,59.0,2.0,"2,004586303"
2011,LSO,Lesotho,6.21,119.0,4.0,"2,836935329"
2011,LBR,Liberia,,,,"9,131658925"
2011,LBY,Libya,,,,"-62,07650761"
2011,LTU,Lithuania,7.5,29.0,1.0,6
2011,LUX,Luxembourg,7.48,32.0,1.0,"1,904988907"
2011,MKD,Macedonia,7.11,67.0,2.0,"2,8"
2011,MDG,Madagascar,6.21,119.0,4.0,"1,026604298"
2011,MWI,Malawi,6.52,106.0,3.0,"4,347495189"
2011,MYS,Malaysia,6.86,82.0,3.0,"5,127731455"
2011,MLI,Mali,5.92,131.0,4.0,"2,730111011"
2011,MLT,Malta,7.67,19.0,1.0,"1,4"
2011,MRT,Mauritania,5.78,135.0,4.0,4
2011,MUS,Mauritius,8.05,5.0,1.0,"3,850110923"
2011,MEX,Mexico,6.68,94.0,3.0,"4,044614776"
2011,MDA,Moldova,6.7,91.0,3.0,"6,8"
2011,MNG,Mongolia,7.17,61.0,2.0,"17,51364709"
2011,MNE,Montenegro,7.14,62.0,2.0,"3,23"
2011,MAR,Morocco,6.47,107.0,3.0,"4,985647093"
2011,MOZ,Mozambique,5.77,136.0,4.0,"7,321980599"
2011,MMR,Myanmar,4.44,152.0,4.0,
2011,NAM,Namibia,6.61,100.0,3.0,"6,011779586"
