year,iso_code,country,economic_freedom,rank,quartile,gdp_growth,1a_government_consumption,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2013,EGY,Egypt,6.01,130.0,4.0,"2,097945861",8.058823529,4.0,7.0,6.35255356,5.009590846,3.740749583,4.261457104,1.7,5.0,3.4080551889999997,8.579250172,3.890328827,2.464741693,0.567567568,3.314027114,8.081332742,9.492099969,8.104116223,10.0,8.919387233,5.051111111,6.54636537,10.0,4.628071353999999,6.556386959,4.0,5.034544845,5.666344808,4.900296551
2013,SLV,El Salvador,7.2,60.0,2.0,"1,675888994",8.382352941,8.0,8.0,8.417604004,4.3564783369999995,4.03701658,4.33711864,4.166666667,3.333333333,3.833383955,8.165020936,4.532258168,2.794551343,1.0,4.395091996000001,9.312748471,8.934612461,9.841498137,10.0,9.522214767000001,8.170666667,6.483192036,10.0,5.751282791,7.601285374,7.511748523,4.46131781,6.149655276,6.040907203
2013,EST,Estonia,7.7,15.0,1.0,"0,830646297",3.7941176469999998,7.0,6.5,5.972012862000001,7.780676278,5.5148624889999995,6.970814277000001,8.333333332999999,6.666666667,5.930983003,9.537778849,7.105797377999999,7.512012284,1.0,7.2614360620000005,6.318749372999999,9.277274008,9.442300641000001,10.0,8.759581006,8.252,7.865007436,10.0,6.8887467870000005,8.251438556,9.952379078,6.307818955,8.446290401,8.235496145
2013,ETH,Ethiopia,5.53,143.0,4.0,"10,36242758",8.735294117999999,4.0,5.0,6.710239777999999,3.1317073310000003,3.10908833,3.9988306039999997,1.6666666669999999,7.5,5.546758592000001,8.534837665,4.634725927,6.628955135,0.810810811,4.502034845,7.625926163,4.627376073,8.384305535,0.0,5.159401943,5.2248,4.361693136,10.0,1.5661121219999998,5.288151313999999,5.155497508,7.514626842,5.345284699,6.00513635
2013,FJI,Fiji,6.44,108.0,3.0,"2,735106782",5.208823529,8.0,5.0,6.917883542999999,3.094463759,3.688576397,4.496258523,6.2,,5.10906166,7.709818901,4.903381051,7.316597662,0.914285714,5.086993898,5.47632204,8.282100046,9.418164236,0.0,5.794146581000001,4.977777778,5.7910795010000005,10.0,4.841959363,6.40270416,9.732764973,7.751834681,6.4365231210000005,7.973707592
2013,FIN,Finland,7.7,15.0,1.0,"-1,379474373",2.6176470590000003,8.0,3.5,4.389037577,9.281800428,8.000969705,8.977692734,10.0,10.0,6.830351106,8.080379451,9.553437702,8.898011955,1.0,8.846960342000001,8.989836217999999,9.504192187000001,9.704812667,10.0,9.549710268,8.249777778,7.904316495,10.0,5.830156289,7.996062641,9.482480949,5.223909731,8.473428295,7.726606325
2013,FRA,France,7.23,59.0,2.0,"0,213808557",2.823529412,8.0,3.5,4.258579415,6.61426751,5.3398873689999995,7.571235947999999,9.166666667000001,8.333333332999999,6.430501437999999,7.068798815,7.213669800000001,5.489648107000001,0.9459459459999999,6.8354604310000004,9.343062906,9.830282829,9.827278613999999,10.0,9.750156087,8.249777778,7.108024536,10.0,6.567970152000001,7.981443116,9.210847559,5.333542435,7.456025436,7.33347181
2013,GAB,Gabon,5.42,144.0,4.0,"5,887",2.667647059,4.0,3.5,4.994227841,3.086732357,3.7724790689999996,4.880825309,3.333333333,5.0,2.915889045,3.053378538,4.214662249,5.738102166,0.794871795,3.589285107,8.057152692999999,3.76988582,9.903971466,0.0,5.432752495,6.3076,6.296259872,10.0,2.7116409910000003,6.328875216,7.866320958999999,7.434373094,5.019281014,6.773325022000001
2013,GMB,"Gambia, The",7.32,51.0,2.0,"5,647144549",8.714705882,4.0,8.0,7.573553982999999,4.732775408999999,4.721858392,5.357132958999999,3.333333333,5.833333333,5.0944586460000005,6.254444922,6.03597359,6.920741642,0.9487179490000001,5.227333289,9.174846673,8.887726456000001,8.860053941,10.0,9.230656768,6.476933333,6.6235150979999995,10.0,8.05795819,7.789601655,6.333333333,8.189752594,5.750244566,6.757776831
2013,GEO,Georgia,7.87,11.0,1.0,"3,176421579",6.176470588,7.0,10.0,7.603006628999999,4.733760035,4.078121293,4.764383467,5.1,,6.499992719,9.948229639,7.279154265,7.145238885,1.0,6.193610037999999,7.910286519,7.879472739,9.896979884,10.0,8.921684785,9.378888889,8.01191158,10.0,7.184575149,8.643843905,9.778029756,6.455134166000001,7.7669454710000005,8.000036463999999
